date,country,confirmed,deaths,recovered
2020-03-01,India,3,0,0
2020-03-05,India,29,0,3
2020-03-10,India,62,1,4
2020-03-15,India,114,2,13
2020-03-20,India,258,4,23
2020-03-25,India,657,12,43
2020-03-30,India,1251,32,102
2020-04-05,India,3588,99,229
2020-04-10,India,7599,249,774

2020-03-01,USA,75,1,7
2020-03-05,USA,159,11,8
2020-03-10,USA,472,19,8
2020-03-15,USA,1678,41,121
2020-03-20,USA,19100,244,147
2020-03-25,USA,65778,942,361
2020-03-30,USA,163539,2978,5645
2020-04-05,USA,337072,9619,17448
2020-04-10,USA,496535,18586,27900

2020-03-01,Italy,1700,41,83
2020-03-05,Italy,3089,107,276
2020-03-10,Italy,10149,631,1004
2020-03-15,Italy,24747,1809,2335
2020-03-20,Italy,47021,4032,4440
2020-03-25,Italy,74386,7503,9362
2020-03-30,Italy,101739,11591,14620
2020-04-05,Italy,128948,15887,21815
2020-04-10,Italy,147577,18849,30455
