student_id,gender,math_score,reading_score,writing_score,attendance,study_hours
1,Male,78,74,76,85,2.5
2,Female,88,90,92,95,4.0
3,Male,65,60,63,70,1.5
4,Female,92,94,96,98,4.5
5,Male,70,68,72,80,2.0
6,Female,85,87,89,90,3.5
7,Male,60,58,55,65,1.0
8,Female,75,78,80,88,2.8
9,Male,82,80,79,92,3.2
10,Female,90,91,93,96,4.2
11,Male,55,52,50,60,0.8
12,Female,68,70,72,75,2.1
13,Male,74,72,70,83,2.6
14,Female,95,96,97,99,5.0
15,Male,80,78,82,88,3.0
16,Female,84,86,88,91,3.6
17,Male,67,65,68,77,1.9
18,Female,72,74,76,82,2.4
19,Male,88,85,87,93,3.8
20,Female,91,92,94,97,4.3
